"inputfile","outputfile","vowel","interval","duration","start","end","previous_sound","next_sound","word","file","f0","duration.1","label","group","color","number","cutoff","f11","f21","f31","f12","f22","f32","f13","f23","f33","f14","f24","f34","f15","f25","f35"
"03_09_audio","03_09_audio_0032","i",111,0.05117363718,744.3133241,744.3644978,"t","y","kw̓elltiyénecum","03_09_audio_0032",213.4,0.05,"i1",3,"Black",400,5450,287,2682,3352,379,2566,3435,409,2608,3400,421,2661,3050,428,2592,2693
"04_13_audio","04_13_audio_0003","i",10,0.2337411304,348.415983,348.6497241,"ts","cw","m-kítscwes ntsitstcw","04_13_audio_0003",224.7,0.232,"i1",3,"Black",748,6050,368,2404,2757,469,2477,2701,409,2617,2852,367,2611,3045,363,2629,3033
"p2","p2_0317","ú",985,0.1282595374,207.3305703,207.4588299,"c","y","cúyt","p2_0317",212.5,0.128,"u2",11,"Teal",317,7226,415,875,3773,414,907,3418,409,907,2910,416,1032,2970,417,1102,2898
"03_16_audio","03_16_audio_0029","e",97,0.03214184563,1922.513329,1922.54547,"w","n","Núnxwenxw (3) girl","03_16_audio_0029",237.1,0.032,"e1",2,"Blue",527,6950,398,1313,2797,424,1292,3041,408,1271,3111,376,1266,3056,358,1319,2936
"p2","p2_0065","e",212,0.2296000389,42.88039996,43.11,"l","k","cw7álekwe","p2_0065",188.8,0.228,"e1",2,"Blue",65,7011,538,1199,3230,420,994,3294,408,850,3076,397,811,3054,363,805,3197
"04_13_audio","04_13_audio_0033","ú",138,0.1693520666,522.4413138,522.6106658,"t","k","stukstúks","04_13_audio_0033",325.7,0.168,"u2",10,"Purple",778,6650,326,2144,2896,383,1654,2735,406,1294,2766,407,1057,2769,353,1011,3353
"02_16_audio","02_16_audio_0021","i",82,0.1863186903,2378.706496,2378.892815,"m","cw","tmicw","02_16_audio_0021",242.9,0.186,"i1",3,"Black",193,5750,407,2259,2739,422,2451,2776,404,2317,2691,343,1851,2659,402,1301,2646
"p2","p2_0325","í",1014,0.1361460461,214.7288863,214.8650324,"w","s","wísemcen","p2_0325",198,0.136,"i2",9,"Lime",325,5608,406,849,2498,409,1228,2737,404,1338,2802,401,1792,2751,370,2477,2878
"02_16_audio","02_16_audio_0015","í",57,0.09508677989,2360.261974,2360.357061,"w","s","xwisteten","02_16_audio_0015",196.1,0.094,"i2",3,"Black",187,6350,439,1371,2660,416,1876,2692,403,2346,2805,376,2448,2878,349,2349,2980
"p2","p2_0193","e",583,0.2310351767,122.5389648,122.77,"7","-","mé7e","p2_0193",182.2,0.23,"e1",2,"Blue",193,6147,718,1415,2988,678,1363,2862,403,1550,2956,342,1556,2884,335,1364,2875
"p2","p2_0073","e",232,0.125396303,48.8446037,48.97,"l","k","cw7alekwe","p2_0073",179.2,0.124,"e1",2,"Blue",73,6039,434,1103,3002,433,789,2942,401,766,2908,357,800,2922,306,918,2977
